DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LI,2017,5419.42,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LI,2018,5236.49,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2009,453.89,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2010,442.32,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2011,476.35,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2012,472.48,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2013,480.80,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2014,521.98,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2015,560.22,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2016,599.35,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2017,639.02,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LT,2018,712.70,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LU,2011,4232.46,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LU,2012,3843.47,b
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LU,2013,3930.66,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LU,2014,4064.74,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LU,2015,4040.52,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LU,2016,4094.57,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LU,2017,4205.35,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LU,2018,4389.93,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LV,2013,367.58,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LV,2014,386.32,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LV,2015,411.93,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LV,2016,443.64,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LV,2017,475.15,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,LV,2018,560.60,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,MT,2014,1121.90,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,MT,2015,1210.52,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,MT,2016,1308.19,
